행정구역코드,시도명,시군구명,연도,총인구,고령인구_65세이상,의사수_예측,구급차수,응급시설수_총,의사_인구10만명당,구급차_인구10만명당,응급시설_인구10만명당,취약지수,취약지역_여부,목표_의사수,추가_의사수,목표_구급차수,추가_구급차수,목표_응급시설수,추가_응급시설수
47280,경상북도,문경시,2025,64186.48649,23749.0,152.9333333,6.0,1.0,238.2640673,9.347762011,1.557960335,0.894794342,0.0,250.4224627,98.0,8.33320946,3.0,1.773648319,1.0
47920,경상북도,봉화군,2025,27835.95506,12387.0,42.2,5.0,1.0,151.6024865,17.96237991,3.592475983,0.838390698,0.0,108.6014954,67.0,3.613889102,0.0,0.769183634,0.0
47250,경상북도,상주시,2025,90286.10354,33135.0,188.4,9.0,2.0,208.6699864,9.968311453,2.215180323,0.877330371,0.0,352.2496656,164.0,11.7216731,3.0,2.494852181,1.0
47840,경상북도,성주군,2025,40261.65803,15541.0,76.13333333,4.0,1.0,189.0963687,9.935010617,2.483752654,0.879727712,0.0,157.0801599,81.0,5.227094486,2.0,1.11253982,1.0
47170,경상북도,안동시,2025,154560.9756,44359.0,456.4666667,13.0,3.0,295.3311241,8.410919994,1.940981537,0.850283945,0.0,603.0169632,147.0,20.06635749,8.0,4.270942836,2.0
47770,경상북도,영덕군,2025,32289.65517,14046.0,72.86666667,4.0,1.0,225.6656699,12.38786843,3.096967108,0.866720038,0.0,125.9775291,54.0,4.192104517,1.0,0.892251559,0.0
47760,경상북도,영양군,2025,14884.09091,6549.0,22.73333333,4.727272727,1.0,152.7357866,31.76057413,6.71858299,0.705336549,0.0,58.07002229,36.0,1.932373214,0.0,0.411288174,0.0
47210,경상북도,영주시,2025,100253.125,32081.0,229.8,6.0,3.0,229.2197874,5.984850846,2.992425423,0.861973637,0.0,391.1358268,162.0,13.01567254,8.0,2.770268267,0.0
47230,경상북도,영천시,2025,100006.1162,32702.0,220.3333333,8.0,1.0,220.3198581,7.999510733,0.999938842,0.905566105,1.0,390.1721263,170.0,12.98360386,5.0,2.763442737,2.0
47900,경상북도,예천군,2025,53887.9056,18268.0,99.33333333,6.0,1.0,184.3332603,11.13422378,1.855703963,0.870557617,0.0,210.2427282,111.0,6.996164292,1.0,1.489070339,1.0
